Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-9,03;-2,51;-0,67;-16;73;73,94;1,45;-766;-4,07;-0,08;-1,39;-0,13;-1,01;-0,09;-9,78;-1,53;-1,07;113;140;79,22;1,55;-146;-6,17;-0,12;-0,53;-0,05;1,14;0,11
-9,38;-4,4;1,11;-4023;-3990;64,17;2,61;4606;6,11;0,09;80,62;6,71;-63,04;-5,41;-8,24;-0,46;-0,62;3202;-120;84,66;3,15;2728;-4,31;-0,17;43,35;3,63;-2,83;-0,13
-8,8;-1,49;-0,9;2056;4056;78,81;4,05;-3620;-5,76;-0,01;-44,97;-25,72;59,8;35,52;-9,53;-0,3;-1,63;-1534;203;80,15;4,6;-2445;-9,69;-0,35;-35,63;-21,01;2,1;1,27
-8,76;-3,26;-1,47;2774;470;67,77;5,45;-2709;-8,93;-0,29;-31,06;-31,06;5,06;5,07;-9,94;-2,93;-1,77;6900;-1284;70,99;5,92;-4669;-9,68;-0,62;-69,58;-69,55;-20,6;-20,59
-9,04;-0,96;0,83;-2288;-303;82;48,72;5432;5,24;2,78;93,23;93,23;-6,75;-6,75;-9,77;-3,35;-1,77;-4968;-2233;68,8;41,42;19374;-9,72;-5,88;297,49;297,49;-35,09;-35,09
-7,07;-2,12;-3,29;8510;6648;61,06;61,05;-6535;-24;-23,98;-89,47;-89,47;99,38;99,38;-9,67;-2,26;-3,34;1638;1034;67,35;67,33;-5492;-18,59;-18,58;-82,15;-82,15;14,79;14,79
-8,78;-1,56;-1,51;1246;115;76,11;71,64;-2162;-9,62;-14,11;-22,71;-22,71;-0,36;-0,36;-9,87;-0,69;-2,1;944;-793;77,37;74,32;-4726;-12;-14,1;-70,45;-70,45;-13,11;-13,11
-7,66;-1,9;0,19;3760;-1311;75,97;73,41;891;1,41;-7,79;23,9;23,87;-22,14;-22,12;-6,82;-2,14;-0,84;-1371;2018;71,33;73,06;14237;-6,73;-11,24;219,06;218,88;29,81;29,78
-8,41;-1,55;-0,71;212;2744;78,56;76,62;-2347;-4,74;-5,84;-25,53;-25,53;39,77;39,77;-10,58;-2,22;-2,86;1421;818;71,11;72,57;-5180;-14,8;-11,89;-77,38;4,92;11,49;16,57
-9,39;-1,3;-1,73;2203;864;77,02;76,87;-2343;-10,36;-7,65;-25,47;-25,47;11,07;11,09;-10,36;-0,54;-1,64;1623;-380;80,52;74,42;-3618;-8,99;-11,22;-53,54;-53,5;-6,8;-6,79
-9,69;-1,96;-0,24;-1151;-4626;78,49;77,29;2981;-1,38;-5,91;55,81;33,23;-72,75;-49,45;-7,12;-3,87;-1,84;2068;-3906;58,95;71,49;4832;-12,8;-11,57;75,47;39,64;-60,63;-45,68
-8,76;0,17;0,98;-1133;458;83,51;78,49;-3840;6,4;-3,12;-48,33;-48,28;4,87;4,84;-9,23;0,82;0,68;-4696;-1448;83,41;73,2;-6354;4,18;-8,97;-95,31;-95,22;-23,11;-23,12
-9,01;-2,04;-1,54;1727;1484;74,16;75,9;-2224;-9,47;-7;-23,65;-23,65;20,54;20,54;-9,91;-0,83;-2,08;1291;-142;77,26;75,56;-2493;-11,83;-10,81;-36,36;-36,36;-3,17;-3,17
-10,3;-1,14;-0,49;5950;739;83,16;78,68;-1866;-2,69;-5,44;-18,19;-18,19;9,16;9,17;-10,93;-0,74;-0,75;4373;-960;84,49;78,87;-6496;-3,94;-8,35;-97,48;-97,44;-15,66;-15,65
-9,21;0,93;0,58;-680;4652;83,19;79,98;185;3,62;-3;13,12;4,43;68,9;52,31;-11,46;-2,02;-2,2;5940;2564;75,4;77,93;20727;-10,68;-8,93;318,14;202,68;38,15;23,2
-9,44;-1,29;-2,39;3131;4855;73,98;78,86;-3962;-14,06;-5,37;-50,19;-50,15;72;71,99;-9,7;-0,82;-3,17;-329;841;71,32;76,59;-2145;-18,06;-10,25;-31,05;-30,9;11,84;11,85
-9,02;-1,76;-1,91;2514;290;73,95;76,03;-1693;-11,71;-9,25;-15,55;-15,55;2,31;2,31;-9,99;-1,23;-1,71;4013;-44;78,1;77,51;-5755;-9,64;-9,93;-86,16;-86,16;-1,67;-1,67
-7,84;-2,73;-0,81;6072;655;70,03;73,79;5589;-5,55;-7,9;95,63;95,56;7,88;7,88;-9,09;-3,97;-0,71;-144;892;66,05;73,21;23858;-4,07;-7,95;365,94;365,66;12,62;12,61
-8,34;-2,79;-1,57;3748;5733;69;72,57;-3751;-10,14;-8,35;-46,97;-7,37;85,41;63,87;-9,9;-0,62;-2,13;1429;880;77,38;74,38;-3074;-12,1;-8,35;-45,23;68,92;12,44;12,48
-8,9;-1,41;-1,23;2581;1351;78,13;73,96;-2892;-7,78;-8,25;-33,85;-33,84;18,51;18,53;-9,9;0,21;-1,15;2754;-1925;83,26;76,33;-4045;-6,64;-7,76;-60,06;-59,98;-30,39;-30,36
-8;-2,56;-0,24;-3771;1396;72,2;73,71;2103;-1,64;-7,12;42,41;21,23;19,19;19,01;-9,93;-3,77;-2,64;-6429;-1595;65,13;74,25;24278;-13,97;-8,67;372,36;252,24;-25,35;-26,75
