Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-9,16;0,46;-0,84;374;60;84,05;1,65;-799;-5,22;-0,1;-1,9;-0,17;-1,2;-0,1;-9,87;0,58;-1,26;180;21;82;1,61;-186;-7,26;-0,14;-1,14;-0,1;-0,68;-0,06
-9,24;0,37;-0,65;604;-170;85,35;3,25;-883;-4,04;-0,18;-3,18;-0,43;-4,72;-0,48;-9,86;0,4;-1,04;197;125;83,52;3,18;-107;-6,04;-0,26;0,07;-0,09;0,91;0,04
-9,17;0,51;-0,92;521;320;83,46;4,77;-539;-5,71;-0,29;2,07;1,14;2,77;1,56;-9,92;0,71;-1,48;806;-46;80,62;4,64;-218;-8,46;-0,41;-1,63;-1,06;-1,7;-1,05
-9,16;0,33;-0,77;340;103;84,78;6,35;-763;-4,79;-0,37;-1,35;-1,35;-0,55;-0,55;-9,77;0,47;-1,17;-17;63;82,67;6,18;-88;-6,79;-0,54;0,36;0,36;-0,04;-0,04
-9,13;0,07;-0,68;216;16;85,74;51,22;-854;-4,24;-2,56;-2,74;-2,74;-1,88;-1,88;-9,9;0,3;-1,08;255;-66;83,54;49,9;-56;-6,22;-3,75;0,85;0,85;-2,01;-2,01
-9,15;0,39;-0,57;448;186;85,67;85,64;-633;-3,58;-3,58;0,64;0,64;0,72;0,72;-9,86;0,65;-1,03;269;39;82,95;82,92;-82;-5,97;-5,97;0,45;0,45;-0,4;-0,4
-9,21;0,32;-0,7;442;289;85,25;85,37;-682;-4,32;-4,09;-0,11;-0,11;2,29;2,29;-9,9;0,7;-1,28;287;190;81,6;82;-68;-7,36;-6,94;0,66;0,66;1,9;1,9
-9,29;0,72;-0,93;158;54;82,79;84,32;-700;-5,68;-4,74;-0,39;-0,39;-1,3;-1,29;-9,93;0,95;-1,64;203;233;79,22;80,86;-54;-9,31;-7,91;0,88;0,88;2,56;2,56
-9,13;0,48;-0,89;387;179;83,68;84,13;-648;-5,56;-4,98;0,41;0,19;0,61;0,08;-9,94;0,66;-1,45;385;192;80,9;80,88;-58;-8,29;-8,02;0,81;0,83;1,93;2,11
-9,17;0,62;-0,76;549;87;83,9;84,08;-653;-4,7;-4,92;0,33;0,25;-0,79;-0,28;-9,91;0,83;-1,46;292;97;80,41;80,78;-25;-8,33;-8,09;1,32;1,04;0,48;1,42
-9,11;0,67;-0,83;212;136;83,33;83,94;-728;-5,16;-4,96;-0,81;-0,07;-0,04;-0,21;-9,78;0,85;-1,57;247;75;79,64;80,57;-64;-9,1;-8,27;0,72;0,94;0,15;1,04
-9,14;0,5;-0,71;345;187;84,59;84,04;-700;-4,42;-4,88;-0,39;-0,14;0,73;0;-9,88;0,73;-1,43;230;78;80,75;80,6;-134;-8,24;-8,26;-0,35;0,65;0,19;0,85
-9,1;0,59;-0,69;563;221;84,3;84,08;-714;-4,32;-4,81;-0,6;-0,23;1,25;0,24;-9,79;0,82;-1,45;207;-5;80,36;80,57;-160;-8,39;-8,28;-0,74;0,39;-1,08;0,49
-9,21;0,47;-0,91;264;8;83,64;84,02;-857;-5,66;-4,91;-2,78;-0,63;-2;-0,11;-9,94;0,83;-1,56;259;150;79,94;80,5;-84;-8,87;-8,35;0,42;0,39;1,29;0,62
-9,18;0,53;-0,96;768;379;83,2;83,94;-461;-5,95;-5,02;3,26;-0,1;3,67;0,4;-9,87;0,7;-1,51;392;-60;80,43;80,49;-253;-8,67;-8,39;-2,16;0,05;-1,92;0,27
-9,11;0,52;-0,72;501;30;84,41;83,98;-781;-4,53;-4,97;-1,62;-0,28;-1,66;0,15;-9,87;0,67;-1,46;283;58;80,75;80,51;-112;-8,41;-8,39;-0,01;0,04;-0,11;0,23
-9,15;0,55;-0,78;259;66;84,07;83,99;-763;-4,85;-4,97;-1,35;-0,4;-1,11;0,01;-9,83;0,81;-1,48;175;118;80,28;80,49;-21;-8,52;-8,4;1,38;0,18;0,8;0,29
-9,16;0,47;-0,8;195;372;84,22;84,02;-590;-4,98;-4,96;1,29;-0,23;3,56;0,36;-9,96;0,7;-1,42;341;66;80,96;80,53;-104;-8,12;-8,37;0,11;0,18;0,01;0,26
-9,15;0,61;-0,76;252;196;83,93;84,01;-653;-4,71;-4,95;0,33;0,12;0,87;0,68;-9,86;0,76;-1,45;221;47;80,6;80,54;-62;-8,32;-8,37;0,75;0,23;-0,28;0,21
-9,15;0,62;-0,83;379;119;83,56;83,98;-693;-5,14;-4,96;-0,28;-0,16;-0,3;0;-9,89;0,82;-1,44;226;12;80,49;80,53;-86;-8,26;-8,36;0,39;0,24;-0,82;0,13
-9,1;0,62;-0,66;456;41;84,31;84;-688;-4,12;-4,91;-0,2;-0,19;-1,49;-1,04;-9,87;0,86;-1,44;522;97;80,33;80,52;-68;-8,29;-8,35;0,66;0,27;0,48;0,16
-9,22;0,36;-0,78;107;387;84,69;84,05;-460;-4,83;-4,9;3,28;2,23;3,79;2,32;-9,89;0,89;-1,66;312;-130;79,21;80,43;-196;-9,49;-8,42;-1,29;0,16;-2,98;-0,06
-9,21;0,62;-0,75;470;127;83,98;84,05;-790;-4,64;-4,88;-1,76;-0,55;-0,18;0,58;-9,77;0,8;-1,44;283;92;80,41;80,43;-120;-8,37;-8,42;-0,13;0,14;0,4;-0,03
-9,18;0,53;-0,74;346;142;84,33;84,06;-767;-4,6;-4,87;-1,41;-0,9;0,05;0,36;-9,86;0,86;-1,46;314;145;80,27;80,43;-52;-8,38;-8,42;0,91;0,19;1,21;0,04
-9,18;0,59;-0,81;625;199;83,79;84,05;-719;-5,01;-4,88;-0,68;-0,84;0,92;0,52;-9,85;1,01;-1,57;427;-64;79,29;80,36;-92;-9;-8,45;0,3;0,2;-1,98;-0,07
-9,16;0,53;-0,7;335;329;84,52;84,08;-622;-4,35;-4,85;0,8;-0,46;2,9;1,06;-9,82;0,75;-1,33;-89;-71;81,13;80,4;-186;-7,71;-8,41;-1,14;0,12;-2,08;-0,18
-9,22;0,47;-0,65;225;19;85,03;84,12;-805;-4,04;-4,82;-1,99;-0,75;-1,83;0,53;-9,83;0,78;-1,28;111;32;81,33;80,44;-149;-7,39;-8,37;-0,57;0,09;-0,51;-0,2
-9,19;0,54;-0,55;350;252;85,2;84,18;-661;-3,45;-4,76;0,21;-0,6;1,73;0,72;-9,78;0,83;-1,44;274;131;80,35;80,44;-139;-8,35;-8,37;-0,42;0,06;1;-0,14
-9,15;0,55;-0,7;279;148;84,45;84,19;-724;-4,37;-4,74;-0,75;-0,62;0,14;0,64;-9,83;0,86;-1,52;174;99;79,95;80,42;-112;-8,74;-8,38;-0,01;0,06;0,51;-0,11
-9,09;0,56;-0,81;489;90;83,82;84,17;-703;-5,07;-4,76;-0,43;-0,6;-0,75;0,47;-9,82;0,85;-1,46;312;153;80,23;80,41;-75;-8,44;-8,38;0,55;0,08;1,34;-0,04
-9,18;0,56;-0,84;145;206;83,74;84,16;-700;-5,2;-4,78;-0,39;-0,57;1,03;0,53;-9,81;0,73;-1,46;184;7;80,56;80,42;-141;-8,43;-8,39;-0,45;0,06;-0,89;-0,08
-9,21;0,51;-0,75;438;136;84,36;84,17;-690;-4,65;-4,78;-0,23;-0,54;-0,04;0,47;-9,85;0,84;-1,49;224;49;80,13;80,4;-115;-8,58;-8,39;-0,06;0,05;-0,25;-0,09
-9,16;0,55;-0,68;472;346;84,57;84,19;-698;-4,21;-4,76;-0,36;-0,52;3,16;0,72;-9,76;0,76;-1,39;191;41;80,77;80,42;-151;-8,09;-8,38;-0,61;0,03;-0,37;-0,1
-9,16;0,54;-0,69;365;183;84,53;84,21;-732;-4,29;-4,74;-0,88;-0,55;0,67;0,72;-9,9;0,85;-1,52;339;1;80,05;80,4;-146;-8,67;-8,39;-0,53;0,01;-0,98;-0,13
-9,16;0,57;-0,71;354;113;84,31;84,21;-677;-4,43;-4,73;-0,04;-0,51;-0,39;0,63;-9,85;0,77;-1,36;196;48;81;80,42;-127;-7,82;-8,37;-0,24;0;-0,27;-0,14
-9,15;0,58;-0,8;508;168;83,86;84,2;-650;-4,98;-4,74;0,38;-0,44;0,44;0,61;-9,8;0,79;-1,49;256;24;80,22;80,41;-119;-8,63;-8,38;-0,12;-0,01;-0,63;-0,16
-9,21;0,47;-0,77;482;163;84,42;84,21;-743;-4,75;-4,74;-1,04;-0,49;0,37;0,6;-9,81;0,88;-1,5;232;97;79,96;80,4;-119;-8,65;-8,39;-0,12;-0,01;0,48;-0,13
-9,15;0,63;-0,74;538;155;83,92;84,2;-691;-4,63;-4,74;-0,25;-0,47;0,25;0,57;-9,82;0,92;-1,42;296;56;80,22;80,39;-88;-8,19;-8,39;0,36;0;-0,15;-0,13
-9,12;0,71;-0,8;324;133;83,28;84,17;-645;-5,02;-4,75;0,45;-0,41;-0,09;0,53;-9,9;0,96;-1,66;309;49;79,01;80,35;-122;-9,5;-8,42;-0,16;0;-0,25;-0,14
-9,1;0,58;-0,64;491;107;84,59;84,19;-670;-4,02;-4,73;0,07;-0,38;-0,49;0,46;-9,81;0,9;-1,58;332;110;79,53;80,33;-88;-9,09;-8,44;0,36;0,01;0,68;-0,11
-9,17;0,57;-0,92;420;115;83,26;84,16;-775;-5,71;-4,76;-1,53;-0,45;-0,36;0,41;-9,87;0,87;-1,61;332;126;79,5;80,31;-115;-9,23;-8,46;-0,06;0,01;0,92;-0,08
