Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-9,19;-3,07;-1,66;1169;954;69,19;1,36;-677;-9,72;-0,19;-0,04;0;12,44;1,14;-10,2;-1,65;-2,3;-5019;1853;74,5;1,47;386;-12,53;-0,24;7,59;0,69;27,29;2,49
-8,76;-2,59;-1,33;2113;792;71,61;2,72;-1484;-8,29;-0,35;-12,36;-1,05;9,97;1,89;-9,84;-1,08;-1,59;297;-1397;78,94;2,95;-2857;-9,15;-0,44;-41,92;-2,92;-22,33;0,4
-10,38;-4,06;0,98;1144;-3415;68,06;3,94;9412;5,01;-0,2;153,99;96,24;-54,26;-33,34;-2,16;0,58;0,96;4961;-4316;62,55;4,06;10011;23,28;0,05;154,54;95,89;-66,89;-41,83
-6,67;-4,75;-3,81;2404;4024;47,58;4,67;-6729;-24,98;-0,31;-92,43;-92,32;59,32;59,26;-10,64;-6,57;-3,69;8134;2292;54,7;4,89;-7436;-16,45;0,1;-111,83;-111,7;33,99;33,95
-9,03;-2,84;-1,42;3551;1714;70,62;42,05;-3090;-8,54;-5,12;-36,88;-36,88;24,05;24,05;-10,01;-1,05;-0,71;4219;-2158;82,77;48,97;-8473;-4,02;-2,42;-127,66;-127,66;-33,95;-33,95
-7,36;-1,97;0,49;878;4068;74,56;74,53;3447;3,69;3,68;62,93;62,93;59,99;59,99;-11,89;-3,89;-0,07;-8927;2361;71,9;71,88;32004;-0,33;-0,33;490,31;490,31;35,05;35,05
-8,71;-2,84;-0,83;3610;7201;71,24;72,32;-5369;-5,21;-2,42;-71,67;-71,67;107,82;107,82;-10,07;-0,27;-0,8;630;-409;85,18;81,17;-2877;-4,56;-2,67;-42,22;-42,22;-7,24;-7,24
-10,2;-5,63;-1,06;-1055;-2752;60,7;67,8;9174;-5,17;-3,72;150,36;150,22;-44,14;-44,04;-3,03;-2,48;-0,11;-2650;-3855;50,72;68,65;-4973;-1,67;-2,36;-74,22;-74,2;-59,85;-59,82
-12,3;-5,42;5,26;12601;-6997;58,45;64,91;8718;21,37;4;143,4;145,3;-108,94;-90,91;-10,48;-1,67;1,24;-776;-1833;78,76;74,91;-14648;6,67;3,2;-221,93;-221,93;-28,98;-28,98
-9,23;-2,79;-1,05;4007;2000;72,12;66,26;-3087;-6,2;2,14;-36,83;-36,72;28,41;28,34;-10,17;-1,17;-1,61;2720;-848;78,92;76,39;-8916;-8,95;-2,04;-134,42;-134,48;-13,95;-13,96
-5,37;-2,24;-2,44;1082;13016;58,31;61,53;-2674;-22,78;-12,89;-30,52;-30,52;196,6;196,6;-14,3;-2,4;-2,27;-7811;4729;76,99;76,59;32767;-8,89;-3,82;501,96;325,14;71,2;47,54
-8,37;-2,99;-0,87;643;4332;69,61;65,05;-5064;-5,58;-10,22;-67,01;-66,99;64,02;64,1;-9,98;0,97;-1,19;2306;261;81,24;77,75;-4386;-6,77;-3,45;-65,26;-65,02;2,98;3,01
-10,9;-3,5;0,42;120;-207;72,06;67,1;11320;2,09;-6,85;183,12;113,64;-5,28;14;-3,17;-5,43;-3,49;5383;-1664;26,19;68,48;-5265;-29,06;-8,27;-78,68;-74,89;-26,4;-18,24
-4,19;-3,94;-5,82;-2926;-3764;30,77;59,32;-9523;-45,34;-14,78;-135,09;-134,93;-59,59;-59,54;-10,16;-5,7;-6,1;-197;5856;50,6;65,68;-13209;-27,63;-11,49;-199,96;-199,89;88,4;88,34
-9,32;-2,53;-0,65;7212;-2736;74,32;68,21;-598;-3,87;-8,46;1,17;1,17;-43,89;-43,89;-10,82;-0,27;0,26;7558;-2604;88,03;78,99;-11538;1,37;-4,25;-174,45;-174,45;-40,76;-40,76
-7,29;0,22;1,24;-4178;6359;80,22;72,61;-3452;9,63;-1,67;-42,4;-42,38;94,96;94,88;-12,55;-6,66;-1,61;7266;3369;61,37;72,35;32767;-6,45;-5,5;501,96;501,54;50,44;50,38
-9,08;-1,55;-1,75;2678;2112;75,53;74,57;-4961;-10,78;-7,41;-65,44;-65,44;30,12;30,12;-9,66;0,36;-1,92;2446;196;78,56;76,29;-6046;-11,24;-8,32;-90,61;-90,6;1,99;1,99
-8,43;-6,27;0,19;-575;-2473;53,36;66,49;7263;1,03;-4,33;121,19;121,07;-39,88;-39,83;-3,56;-1,48;-1,88;-257;5175;56,11;68,54;8714;-26,03;-15,35;134,74;134,6;78,01;77,96
-9,05;-6,08;-3,52;5893;14945;52,17;57,49;-9900;-17,91;-12,63;-140,85;-140,84;226,05;226,05;-10,55;-4,5;-0,19;8565;-7095;66,88;67,62;-4988;-0,95;-6,15;-74,45;-74,45;-109,32;-109,32
-12,48;-4,59;-1,66;2725;-7321;68,65;62,34;3374;-7,11;-10,85;61,81;61,68;-113,89;-113,68;-14,01;-0,52;1,13;1076;-2704;84,94;74,02;-15110;4,59;-2,2;-228,99;-228,89;-42,28;-42,32
