Acc_X0,Acc_Y0,Acc_Z0,Gy_X0,Gy_Y0,De_Y0,De_Y0K,Gyro_Z0,De_Z0,De_Z0K,Yaw,Yaw_k,Pitch,Pitch_K,Acc_X1,Acc_Y1,Acc_Z1,Gy_X1,Gy_Y1,De_Y1,De_Y1K,Gyro_Z1,De_Z1,De_Z1K,Yaw1,Yaw1_k,Pitch1,Pitch1_K
-9.06,-0.39,-0.91,4560,3,83.75,1.64,-753,-5.75,-0.11,-1.2,-0.11,-2.07,-0.18,-9.73,-1.88,-1.57,2123,212,75.85,1.49,-1106,-9.0,-0.18,-15.19,-1.38,2.24,0.21
-9.07,1.53,-1.29,4141,69,77.58,3.1,-890,-7.99,-0.27,-3.29,-0.38,-1.07,-0.25,-9.78,-1.08,-1.83,1409,995,77.75,2.96,-1741,-10.53,-0.4,-24.88,-3.37,14.19,1.4
-8.98,1.07,-1.43,3084,697,78.75,4.53,-2164,-8.99,-0.44,-22.74,-14.41,8.52,5.26,-9.72,-1.53,-1.79,835,-188,76.41,4.35,-2733,-10.29,-0.61,-40.03,-26.37,-3.87,-1.9
-8.81,0.82,-1.24,942,1659,80.42,6.05,-3190,-7.96,-0.65,-38.4,-38.39,23.21,23.2,-9.82,-2.11,-1.67,372,-703,74.68,5.74,-3728,-9.46,-0.89,-55.22,-55.2,-11.73,-11.73
-8.84,0.37,-1.48,1564,1619,80.22,48.01,-4232,-9.49,-5.71,-54.31,-54.31,22.6,22.6,-9.65,-2.18,-1.49,1770,-235,74.66,44.67,-5153,-8.59,-5.34,-76.97,-76.97,-4.59,-4.59
-10.08,1.89,-2.18,4231,543,74.05,74.03,-1602,-11.98,-11.98,-14.16,-14.16,6.17,6.17,-11.33,-0.61,-2.9,755,2745,75.31,75.29,-9261,-14.36,-14.36,-139.69,-139.69,40.91,40.91
-11.21,3.45,-0.86,-1308,-4688,72.39,72.9,4533,-4.2,-6.59,79.51,79.51,-73.69,-73.69,-14.91,-0.03,0.15,2681,-1596,89.41,85.16,-19604,0.57,-4.15,-297.6,-297.6,-25.37,-25.37
-9.79,-1.35,-0.77,4296,-10843,81.01,76.06,8777,-4.43,-5.51,144.3,144.26,-167.66,-167.6,-8.7,-5.14,-2.12,10300,530,57.45,73.72,-14544,-11.84,-8.01,-220.35,-220.39,7.09,7.07
-9.3,1.04,-0.79,-3662,-4867,82.02,77.39,10280,-4.83,-4.89,167.25,160.86,-76.43,-101.76,-4.2,-3.96,-0.02,-1096,-499,46.72,56.77,8910,-0.23,-3.45,137.73,137.73,-8.62,-8.62
-7.87,0.47,0.58,-9878,349,84.59,78.7,9637,4.17,-2.34,157.43,157.43,3.21,3.14,-6.38,-5.24,-0.61,-5820,-1389,50.4,54.29,26918,-4.24,-3.42,412.66,412.49,-22.21,-22.2
-6.62,0.32,1.6,-8311,-408,76.14,77.17,209,13.59,7.49,13.49,13.49,-8.35,-8.35,-10.38,-3.41,-0.43,-4331,-118,71.7,59.09,32767,-2.27,-1.84,501.96,477.1,-2.8,-8.19
-7.5,3.31,2.11,-2124,2199,62.38,71.59,-4517,14.41,10.12,-58.66,-58.62,31.45,31.43,-11.91,-4.02,-0.66,-245,1481,71.13,61.7,25491,-2.99,-0.6,390.88,390.93,21.61,21.59
-9.67,5.24,3.72,1402,1045,56.4,62.16,-1423,18.7,15.38,-11.43,-11.43,13.83,13.83,-9.16,-3.14,-0.87,388,733,70.44,66.97,-12367,-5.14,-2.7,-187.11,-187.11,10.19,10.19
-13.06,6.76,0.71,5007,5257,62.51,62.33,2050,2.76,10.5,41.6,41.56,78.14,78.1,-10.63,-3.56,1.73,-8465,-3961,69.59,67.98,-16248,8.79,1.15,-246.36,-246.32,-61.47,-61.43
-8.93,0.84,-2.65,-798,4944,72.74,65.44,-7103,-16.43,3.03,-98.14,-59.33,73.36,74.68,-10.2,0.51,-1.27,-1411,1060,82.34,71.78,-5918,-7.11,-1.69,-88.65,-132.46,15.18,-6.1
-8.65,0.15,-0.71,8049,4622,85.21,69.99,-4993,-4.69,1.16,-65.93,-65.92,68.44,68.45,-9.95,-0.19,-1.38,2117,1144,82.02,73.97,-5058,-7.9,-3.45,-75.52,-75.56,16.47,16.45
-8.9,0.89,-0.73,1236,3294,82.65,77.69,-4945,-4.65,-2.43,-65.2,-65.2,48.17,48.17,-10.04,-0.84,-1.21,2200,-95,81.62,78.58,-6693,-6.87,-5.62,-100.48,-100.48,-2.45,-2.45
-9.42,0.23,-0.8,4169,2142,84.94,80.53,-5819,-4.87,-3.51,-78.54,-78.53,30.58,30.59,-9.91,-0.69,-1.13,2813,-546,82.37,80.0,-7865,-6.5,-6.2,-118.38,-118.37,-9.34,-9.33
-10.32,2.18,-0.56,4106,-1493,77.67,79.79,-2272,-3.05,-3.57,-24.39,-39.43,-24.91,-9.49,-11.67,0.25,0.52,1580,1122,87.18,81.95,-13206,2.55,-4.22,-199.92,-177.26,16.13,9.06
-9.85,4.46,-0.33,-94,-3013,65.57,76.7,4918,-1.74,-3.3,85.38,85.31,-48.12,-48.1,-15.72,0.8,0.27,5346,3890,86.92,83.05,-21323,0.99,-3.66,-323.84,-323.75,58.39,58.36
-12.66,-2.71,-1.91,3023,-9768,75.34,75.81,11289,-8.38,-6.21,182.65,182.65,-151.25,-151.25,-8.02,-5.63,-2.44,11600,-607,52.57,77.78,-13950,-14.0,-6.45,-211.28,-242.53,-10.27,8.79
-9.23,0.77,-0.65,-8241,-3231,83.76,78.42,10716,-4.02,-4.93,173.9,173.91,-51.45,-51.51,-1.95,-6.6,-0.02,-4787,1072,16.47,68.53,19229,-0.13,-6.32,295.27,294.94,15.37,15.36
-7.42,-1.0,1.13,-10046,274,78.49,78.33,5975,8.61,-0.79,101.52,121.63,2.06,-12.82,-7.29,-5.08,0.57,-2954,-1219,54.96,60.57,32767,3.66,0.04,501.96,501.96,-19.61,-19.61
