Acc_X0,Acc_Y0,Acc_Z0,Gy_X0,Gy_Y0,De_Y0,De_Y0K,Gyro_Z0,De_Z0,De_Z0K,Yaw,Yaw_k,Pitch,Pitch_K,Acc_X1,Acc_Y1,Acc_Z1,Gy_X1,Gy_Y1,De_Y1,De_Y1K,Gyro_Z1,De_Z1,De_Z1K,Yaw1,Yaw1_k,Pitch1,Pitch1_K
-9.17,0.05,0.69,-551,130,85.67,1.68,-580,4.32,0.09,1.45,0.13,-0.14,-0.01,-9.93,-1.14,-0.27,51,-34,83.28,1.63,-253,-1.52,-0.03,-2.16,-0.2,-1.52,-0.13
-9.22,-0.08,0.69,1095,-70,85.69,3.29,-624,4.28,0.17,0.77,0.19,-3.19,-0.26,-9.87,-1.24,-0.35,742,104,82.58,3.19,-51,-2.04,-0.07,0.92,-0.1,0.59,-0.06
-9.15,0.25,0.66,1320,-192,85.6,4.84,-543,4.12,0.24,2.01,1.33,-5.05,-3.26,-9.95,-1.16,-0.26,600,93,83.19,4.7,-147,-1.49,-0.1,-0.54,-0.38,0.42,0.25
-9.11,0.15,0.82,927,-118,84.75,6.41,-604,5.17,0.35,1.08,1.08,-3.92,-3.92,-9.92,-1.15,-0.2,436,154,83.28,6.25,-200,-1.15,-0.12,-1.35,-1.35,1.35,1.35
-9.16,0.35,0.71,513,143,85.09,50.87,-719,4.41,2.64,-0.68,-0.68,0.06,0.06,-9.92,-1.11,-0.35,217,60,83.31,49.8,-118,-1.99,-1.18,-0.1,-0.1,-0.08,-0.08
-9.2,0.25,0.64,-1,110,85.73,85.7,-614,3.98,3.98,0.93,0.93,-0.44,-0.44,-9.9,-1.29,-0.26,131,-32,82.41,82.39,-291,-1.49,-1.49,-2.74,-2.74,-1.49,-1.49
-9.11,0.29,0.72,-426,269,85.12,85.29,-690,4.54,4.37,-0.23,-0.23,1.99,1.99,-9.9,-1.3,-0.3,-8,-159,82.34,82.35,-255,-1.7,-1.64,-2.19,-2.19,-3.43,-3.43
-9.25,-0.09,0.88,-41,290,84.53,84.98,-814,5.45,4.81,-2.13,-2.13,2.31,2.31,-9.86,-1.28,-0.21,164,-63,82.49,82.4,-82,-1.18,-1.46,0.45,0.45,-1.96,-1.96
-9.14,0.01,0.83,87,261,84.82,84.94,-649,5.18,4.91,0.39,-0.31,1.86,1.99,-9.85,-1.19,-0.29,243,80,82.92,82.55,-95,-1.68,-1.52,0.25,0.3,0.22,-0.39
-9.17,0.31,0.55,686,138,86.08,85.2,-739,3.43,4.58,-0.98,-0.59,-0.01,1.15,-9.89,-1.17,-0.28,420,129,83.08,82.67,-78,-1.62,-1.54,0.51,0.39,0.97,0.18
-9.1,0.26,0.71,434,152,85.23,85.21,-674,4.48,4.56,0.01,-0.41,0.2,0.87,-9.86,-1.19,-0.27,317,61,82.93,82.72,-128,-1.57,-1.55,-0.25,0.2,-0.07,0.11
-9.1,-0.06,0.74,0,157,85.32,85.23,-632,4.67,4.58,0.65,-0.17,0.28,0.73,-9.88,-1.19,-0.28,248,-56,82.96,82.75,-128,-1.62,-1.56,-0.25,0.1,-1.85,-0.34
-9.14,0.21,0.7,537,224,85.42,85.26,-713,4.39,4.55,-0.59,-0.25,1.3,0.84,-9.92,-1.16,-0.14,431,66,83.3,82.82,-51,-0.78,-1.45,0.92,0.25,0.01,-0.27
-9.14,0.23,0.88,276,274,84.31,85.15,-660,5.5,4.66,0.22,-0.17,2.06,1.03,-9.92,-1.21,-0.1,215,84,83.04,82.85,-210,-0.56,-1.35,-1.51,-0.03,0.28,-0.19
-9.27,0.12,0.7,263,211,85.62,85.2,-568,4.32,4.63,1.63,0.07,1.1,1.04,-9.95,-1.29,-0.29,107,174,82.44,82.81,-197,-1.66,-1.39,-1.31,-0.2,1.66,0.06
-9.18,-0.06,0.67,340,90,85.79,85.26,-496,4.2,4.59,2.73,0.39,-0.75,0.83,-9.87,-1.36,-0.16,186,117,82.11,82.74,-181,-0.95,-1.35,-1.06,-0.3,0.79,0.15
-9.15,0.01,0.65,551,202,85.92,85.32,-729,4.08,4.55,-0.83,0.26,0.96,0.84,-9.89,-1.23,-0.24,317,175,82.79,82.75,84,-1.4,-1.35,2.98,0.05,1.67,0.31
-9.14,0.27,0.59,541,93,85.92,85.37,-568,3.72,4.48,1.63,0.39,-0.7,0.69,-9.89,-1.19,-0.25,290,87,83.0,82.77,-139,-1.44,-1.35,-0.42,0.0,0.33,0.31
-9.1,0.31,0.55,739,48,86.04,85.42,-684,3.47,4.41,-0.14,0.34,-1.39,0.51,-9.85,-1.17,-0.34,366,85,82.94,82.79,-49,-1.95,-1.4,0.95,0.09,0.3,0.31
-9.2,0.28,0.7,73,97,85.33,85.41,-685,4.33,4.4,-0.16,0.3,-0.64,0.42,-9.83,-1.25,-0.33,345,-105,82.52,82.76,-139,-1.91,-1.43,-0.42,0.04,-2.6,0.08
-9.16,0.15,0.59,268,82,86.18,85.46,-609,3.71,4.36,1.0,0.35,-0.87,0.32,-9.81,-1.31,-0.32,253,-14,82.19,82.72,-77,-1.84,-1.46,0.52,0.08,-1.21,-0.02
-9.22,0.15,0.59,328,-12,86.2,85.5,-577,3.69,4.32,1.49,0.43,-2.3,0.14,-9.94,-1.28,-0.2,362,-33,82.57,82.71,6,-1.12,-1.43,1.79,0.2,-1.5,-0.12
-9.09,0.29,0.66,524,52,85.45,85.49,-647,4.16,4.32,0.42,0.43,-1.33,0.04,-9.9,-1.17,-0.27,340,-1,83.07,82.73,-16,-1.52,-1.44,1.46,0.28,-1.02,-0.18
-9.09,0.22,0.74,247,-112,85.17,85.47,-351,4.63,4.34,4.94,0.71,-3.83,-0.19,-9.92,-1.33,-0.24,342,-8,82.23,82.7,-464,-1.39,-1.44,-5.38,-0.06,-1.12,-0.24
-9.17,0.17,0.72,175,384,85.39,85.47,-662,4.48,4.35,0.19,0.68,3.74,0.04,-9.94,-1.22,-0.17,278,-21,82.94,82.71,-133,-1.0,-1.42,-0.33,-0.08,-1.32,-0.3
-9.1,0.23,0.76,446,116,84.98,85.45,-594,4.8,4.38,1.23,1.02,-0.35,-0.2,-9.9,-1.28,-0.18,310,33,82.56,82.7,-239,-1.04,-1.41,-1.95,-0.18,-0.5,-0.31
-9.11,-0.1,0.74,440,159,85.34,85.44,-581,4.62,4.39,1.43,1.18,0.31,-0.01,-9.82,-1.37,-0.25,271,131,81.9,82.66,-125,-1.45,-1.41,-0.21,-0.19,1.0,-0.24
-9.15,0.59,0.72,357,112,84.18,85.39,-629,4.5,4.4,0.7,1.05,-0.41,-0.12,-9.86,-1.07,-0.28,164,107,83.62,82.71,-69,-1.63,-1.42,0.65,-0.14,0.63,-0.2
-9.15,0.24,0.65,-109,160,85.65,85.4,-683,4.09,4.39,-0.13,0.79,0.32,-0.02,-9.84,-1.41,-0.22,75,20,81.74,82.66,-140,-1.27,-1.41,-0.44,-0.16,-0.69,-0.22
-9.14,0.28,0.76,490,206,84.93,85.38,-681,4.75,4.41,-0.1,0.63,1.03,0.17,-9.88,-1.26,-0.27,298,24,82.55,82.66,-114,-1.58,-1.42,-0.04,-0.15,-0.63,-0.24
