Acc_X0,Acc_Y0,Acc_Z0,Gy_X0,Gy_Y0,De_Y0,De_Y0K,Gyro_Z0,De_Z0,De_Z0K,Yaw,Yaw_k,Pitch,Pitch_K,Acc_X1,Acc_Y1,Acc_Z1,Gy_X1,Gy_Y1,De_Y1,De_Y1K,Gyro_Z1,De_Z1,De_Z1K,Yaw1,Yaw1_k,Pitch1,Pitch1_K
-8.94,0.74,-1.16,5332,694,81.29,83.17,-3205,-7.34,-3.56,-38.63,-39.24,8.48,16.65,-10.67,-2.26,-1.15,1552,-1259,76.65,79.26,-7884,-6.0,-5.05,-118.67,-99.93,-20.22,-14.31
-10.28,2.48,-0.01,2635,-980,76.42,82.42,732,-0.06,-3.28,21.48,21.44,-17.08,-17.06,-11.81,0.2,-0.43,-2394,977,87.71,80.2,-12488,-2.06,-5.06,-188.96,-188.9,13.92,13.9
-9.06,-0.05,1.12,2159,-9161,82.97,82.3,7351,7.02,-2.0,122.53,94.45,-141.98,-107.28,-10.93,-1.57,-2.45,1647,5886,75.07,77.23,-18981,-12.53,-9.73,-288.09,-288.09,88.86,88.86
-11.09,-0.14,-0.14,-3399,-8992,88.99,82.56,7816,-0.72,-1.54,129.63,129.61,-139.4,-139.38,-5.08,0.26,-1.57,12035,678,72.59,75.74,-2782,-17.17,-13.2,-40.77,-40.93,9.35,9.4
-9.06,1.71,0.01,-9896,183,79.3,81.91,9973,0.08,-0.89,162.56,153.4,0.67,-38.24,-6.91,-4.39,-0.14,-8709,-5884,57.57,70.79,21756,-1.0,-9.73,333.85,229.73,-90.83,-62.99
-8.21,-0.4,2.5,-12717,-293,72.86,81.02,4632,16.92,1.15,81.02,81.06,-6.59,-6.61,-9.8,-5.87,-0.99,-9159,-3052,58.72,68.02,28792,-4.96,-7.99,441.27,441.14,-47.6,-47.61
-7.0,1.46,2.2,-1940,-345,69.34,74.27,-2860,17.1,10.49,-33.36,-33.36,-7.39,-7.39,-11.02,-5.96,-1.33,7257,1353,60.99,63.74,27928,-6.06,-6.13,428.08,428.08,19.66,19.66
-8.64,5.28,3.96,-1939,2691,52.63,66.32,-1568,21.38,14.39,-13.64,-13.65,38.96,38.94,-10.0,-0.82,0.39,5796,2495,84.82,71.69,4695,2.22,-1.93,73.38,73.6,37.09,37.08
-9.1,-0.27,2.31,3187,4363,75.66,72.19,-3997,14.24,14.28,-50.72,-50.72,64.49,64.49,-9.92,3.72,-2.74,-1943,1048,65.02,67.59,-3872,-14.5,-9.65,-57.41,-57.41,15.0,15.0
-4.94,-4.3,1.9,3057,-679,46.44,62.46,-5472,16.16,14.88,-73.24,-73.23,-12.49,-12.44,-9.3,-3.14,-4.47,-8406,2333,59.59,64.55,-6001,-24.48,-15.49,-89.92,-89.9,34.62,34.61
-9.57,1.07,-0.01,461,3500,83.65,75.68,-4915,-0.04,5.45,-64.74,-64.74,51.32,51.32,-9.95,-0.1,-2.5,-2673,994,75.91,71.7,-2988,-14.08,-14.74,-43.92,-43.92,14.18,14.18
-8.77,0.82,-0.14,2262,3697,84.58,79.23,-2024,-0.91,2.84,-20.6,-20.63,54.32,54.32,-9.64,0.34,-1.35,1584,14,81.8,75.62,-4204,-7.94,-12.23,-62.48,-62.47,-0.79,-0.78
-9.04,0.98,0.14,486,2991,83.77,80.64,-2835,0.88,2.23,-32.98,-29.55,43.54,46.54,-9.91,-0.38,-1.34,232,-165,82.01,77.4,-3825,-7.69,-11.15,-56.7,-58.3,-3.52,-2.76
-9.16,1.35,-0.14,1708,2506,81.6,80.98,-3021,-0.85,1.46,-35.82,-32.18,36.14,42.17,-10.02,-0.87,-1.18,1070,-732,81.66,78.3,-4514,-6.69,-10.37,-67.22,-62.04,-12.18,-6.71
-9.0,0.97,-0.72,2004,2694,82.33,81.36,-3851,-4.57,0.26,-48.49,-43.09,39.01,40.06,-9.95,-1.19,-1.41,1344,-784,79.51,78.49,-5414,-8.0,-10.17,-80.96,-74.69,-12.97,-10.9
-9.41,0.59,-0.73,3050,1742,84.3,81.94,-2237,-4.45,-0.61,-23.85,-23.86,24.48,24.49,-10.51,-1.27,-1.86,2130,-1537,77.91,78.36,-7915,-9.97,-10.39,-119.14,-119.11,-24.47,-24.46
-10.61,1.7,0.26,726,-506,80.78,81.84,1232,1.38,-0.38,29.11,14.39,-9.85,-0.31,-11.18,-0.46,-0.08,-395,1056,87.63,79.54,-11188,-0.43,-9.54,-169.11,-155.22,15.12,4.13
-9.44,1.42,1.73,2505,-7007,76.64,81.22,5514,10.3,0.93,94.48,94.43,-109.1,-109.03,-12.18,0.7,0.18,4787,982,86.6,80.39,-16818,0.85,-8.86,-255.06,-255.0,13.99,13.99
-10.78,-0.98,-0.39,2342,-11432,84.4,82.89,8719,-2.07,-0.66,143.41,143.41,-176.65,-176.65,-7.7,-8.26,-2.34,4455,1344,41.88,57.97,-10694,-11.7,-10.94,-161.57,-161.57,19.52,19.52
-7.63,0.66,0.3,-7147,-2729,84.58,83.07,8573,2.24,0.77,141.19,141.19,-43.78,-43.87,-3.25,-4.99,0.04,1221,-5733,33.07,33.09,13825,0.37,0.36,212.77,212.77,-88.53,-88.53
-7.93,1.34,1.74,-8148,-204,74.53,80.67,3806,12.19,4.2,68.41,88.63,-5.23,-15.97,-9.59,-3.92,0.83,-2646,-3134,67.31,56.77,26281,4.59,3.56,402.94,402.94,-48.85,-48.85
-6.99,1.52,2.65,-2964,2124,66.37,77.58,-1668,20.36,7.92,-15.17,-15.1,30.31,30.28,-10.46,-3.29,-0.28,-6208,3810,72.51,63.11,26092,-1.46,2.45,400.05,400.05,57.17,57.1
-8.47,3.82,2.79,343,4559,60.79,67.57,-3841,16.73,13.18,-48.34,-48.34,67.48,67.48,-10.75,-1.42,-1.15,8007,4167,80.37,74.04,16027,-6.05,-2.3,246.39,246.39,62.62,62.62
-6.49,1.79,2.88,-1179,843,62.42,65.81,491,23.16,16.8,17.8,17.75,10.75,10.79,-9.81,-2.22,1.14,-4108,-851,75.74,74.85,-12652,6.47,1.69,-191.46,-191.19,-13.99,-13.94
-12.42,3.18,3.61,11227,5897,68.81,66.72,-8883,15.73,16.44,-125.32,-85.57,87.91,66.48,-14.12,6.81,-1.66,13900,239,63.6,71.69,-5279,-6.05,-0.93,-78.9,-110.09,2.65,-1.96
-6.53,-2.58,-1.83,5610,5047,64.15,66.38,-6995,-14.57,9.5,-96.49,-96.49,74.93,74.93,-9.61,-1.82,-1.08,1425,379,77.6,72.98,-5658,-6.32,-2.45,-84.68,-84.7,4.79,4.78
-8.25,1.15,-0.97,1533,4408,79.65,74.45,-3299,-6.67,-0.34,-40.07,-40.07,65.18,65.18,-9.59,2.32,-2.07,-4351,1282,72.04,72.84,-3878,-11.82,-4.39,-57.51,-65.06,18.57,14.74
-9.67,-0.43,0.61,4926,1880,85.58,78.79,-2973,3.62,1.04,-35.09,-35.09,26.58,26.61,-9.33,-0.26,-1.99,515,-71,77.85,73.65,-4167,-12.05,-5.78,-61.92,-61.92,-2.08,-2.07
-9.18,0.98,-0.87,2345,3491,81.87,79.73,-3025,-5.36,-0.81,-35.88,-35.66,51.18,44.35,-10.02,-1.05,-1.25,1604,-280,80.72,74.58,-3245,-7.08,-6.15,-47.84,-51.75,-5.27,-4.38
-9.16,0.6,-0.17,2474,2368,86.1,81.24,-3315,-1.07,-0.97,-40.31,-40.31,34.03,34.04,-9.81,-0.57,-1.35,1419,-334,81.5,75.38,-4296,-7.84,-6.54,-63.89,-63.88,-6.1,-6.1
-9.21,0.38,-0.58,3501,2003,85.69,82.13,-3542,-3.62,-1.58,-43.78,-42.81,28.46,30.01,-10.02,-0.94,-1.49,2005,-290,80.03,75.85,-5524,-8.43,-6.98,-82.64,-77.43,-5.43,-5.61
-9.57,0.63,-1.07,5270,422,82.62,82.26,-2304,-6.35,-2.41,-24.88,-35.28,4.32,19.23,-10.31,-2.1,-1.36,2828,-321,76.33,75.88,-7904,-7.39,-7.3,-118.97,-118.95,-5.9,-5.9
-9.38,2.38,-0.34,3970,283,75.59,81.44,-224,-2.03,-2.44,6.88,-7.08,2.2,7.84,-11.2,-1.08,-0.41,2230,1457,84.08,76.61,-6984,-2.11,-7.26,-104.93,-108.82,21.24,13.7
-9.79,0.73,1.76,-986,-6738,78.99,81.18,6170,10.15,-0.99,104.5,104.43,-104.99,-104.92,-11.53,-0.86,-0.21,6079,-1491,85.61,77.4,-17804,-1.03,-7.15,-270.12,-270.02,-23.76,-23.74
-13.16,1.49,1.48,928,-15049,80.95,80.87,9249,6.37,3.47,151.51,151.51,-231.88,-231.88,-5.63,-7.7,-2.39,7102,-502,34.92,52.86,-9183,-14.07,-11.6,-138.5,-138.5,-8.66,-8.66
-8.7,0.55,-0.19,-5987,-3359,86.19,82.24,7133,-1.25,2.11,119.2,119.22,-53.4,-53.51,-4.46,-4.02,-0.44,875,-3030,47.8,47.8,15173,-4.24,-4.25,233.35,233.35,-47.26,-47.26
-8.19,0.65,1.74,-9879,-475,77.24,80.77,4907,11.93,5.08,85.22,94.67,-9.37,-21.64,-9.19,-4.26,-0.36,-8503,-526,65.08,59.75,25345,-2.01,-2.41,388.65,388.65,-9.03,-9.03
-7.5,0.72,2.16,-1860,-72,73.12,79.08,-896,16.0,7.7,-3.38,-3.32,-3.22,-3.23,-10.23,-4.59,-0.55,-1748,93,65.68,62.17,25752,-2.8,-1.65,394.86,394.86,0.42,0.41
-8.14,3.24,2.36,954,3685,63.75,69.89,-4040,15.09,12.12,-51.38,-51.38,54.14,54.14,-10.92,-2.28,-0.59,2730,3142,77.85,66.77,15606,-3.04,-1.06,239.96,282.99,46.97,34.04
-8.86,2.32,4.23,-2202,897,61.43,66.85,642,24.8,16.75,20.1,20.06,11.57,11.6,-9.51,0.23,-1.54,-6256,2268,80.72,70.03,-10671,-9.17,-2.02,-161.22,-160.94,33.63,33.63
-11.17,2.49,1.34,4818,2992,75.78,72.44,-1694,6.7,10.51,-15.56,-15.56,43.56,43.56,-10.93,-1.44,0.11,-5043,-2679,82.49,77.57,-8968,0.56,-0.73,-135.22,-135.22,-41.9,-41.9
-8.88,0.72,-1.13,3096,4006,81.42,76.0,-5580,-7.24,3.65,-74.89,-74.85,59.04,59.03,-9.59,-0.14,-1.24,-47,1169,82.58,79.35,-3993,-7.37,-3.56,-59.26,-59.31,16.85,16.81
-9.57,0.68,-0.14,221,3051,85.86,82.25,-2379,-0.87,0.72,-26.02,-26.02,44.46,44.46,-10.17,-0.6,-1.78,199,383,79.53,79.44,-4425,-9.92,-5.48,-65.86,-64.04,4.85,8.17
-9.28,0.66,0.05,3390,3395,85.92,83.77,-2876,0.3,0.49,-33.61,-33.6,49.71,49.71,-9.81,-0.13,-1.22,1276,182,82.85,80.19,-3574,-7.1,-6.01,-52.86,-59.35,1.78,5.49
-9.41,0.79,-0.31,1984,3023,84.81,84.2,-3023,-1.91,-0.27,-35.85,-35.23,44.03,45.61,-10.13,-1.08,-1.49,1013,169,79.72,80.12,-3422,-8.31,-6.6,-50.54,-53.46,1.58,2.87
